I1019 21:50:24.517382       1 request.go:589] Waited for 1.046152537s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/events.k8s.io/v1beta1?timeout=32s
I1019 21:50:25.566917       1 request.go:589] Waited for 2.095663395s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/network.azure.com/v1beta20201101?timeout=32s
I1019 21:50:26.567293       1 request.go:589] Waited for 3.095973733s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301storage?timeout=32s
I1019 21:50:27.617286       1 request.go:589] Waited for 4.145888995s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/servicebus.azure.com/v1beta20210101preview?timeout=32s
I1019 21:50:28.667121       1 request.go:589] Waited for 5.195654155s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbformysql.azure.com/v1alpha1api20210501storage?timeout=32s
I1019 21:50:30.216609       1 request.go:589] Waited for 1.038455744s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/cache.azure.com/v1alpha1api20210301?timeout=32s
I1019 21:50:31.216801       1 request.go:589] Waited for 2.038596315s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/coordination.k8s.io/v1?timeout=32s
I1019 21:50:32.216915       1 request.go:589] Waited for 3.038648993s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/snapshot.storage.k8s.io/v1beta1?timeout=32s
I1019 21:50:33.217448       1 request.go:589] Waited for 4.039064073s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/dbforpostgresql.azure.com/v1beta20210601?timeout=32s
I1019 21:50:34.267485       1 request.go:589] Waited for 5.089091069s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/containerregistry.azure.com/v1beta20210901storage?timeout=32s
I1019 21:50:35.316854       1 request.go:589] Waited for 6.138397261s due to client-side throttling, not priority and fairness, request: GET:https://10.0.0.1:443/apis/keyvault.azure.com/v1beta20210401preview?timeout=32s
I1019 21:51:07.738250       1 controller.go:220] controllers/controller/redis "msg"="Starting workers" "reconciler group"="cache.azure.com" "reconciler kind"="Redis" "worker count"=1
I1019 21:51:07.738272       1 controller.go:220] controllers/controller/profilesendpoint "msg"="Starting workers" "reconciler group"="cdn.azure.com" "reconciler kind"="ProfilesEndpoint" "worker count"=1
I1019 21:51:07.738285       1 controller.go:220] controllers/controller/registry "msg"="Starting workers" "reconciler group"="containerregistry.azure.com" "reconciler kind"="Registry" "worker count"=1
I1019 21:51:07.739426       1 controller.go:220] controllers/controller/redispatchschedule "msg"="Starting workers" "reconciler group"="cache.azure.com" "reconciler kind"="RedisPatchSchedule" "worker count"=1
I1019 21:51:07.739436       1 controller.go:220] controllers/controller/roleassignment "msg"="Starting workers" "reconciler group"="authorization.azure.com" "reconciler kind"="RoleAssignment" "worker count"=1
I1019 21:51:07.739458       1 controller.go:220] controllers/controller/snapshot "msg"="Starting workers" "reconciler group"="compute.azure.com" "reconciler kind"="Snapshot" "worker count"=1
I1019 21:51:07.739464       1 controller.go:220] controllers/controller/disk "msg"="Starting workers" "reconciler group"="compute.azure.com" "reconciler kind"="Disk" "worker count"=1
I1019 21:51:07.739485       1 controller.go:220] controllers/controller/redisenterprise "msg"="Starting workers" "reconciler group"="cache.azure.com" "reconciler kind"="RedisEnterprise" "worker count"=1
I1019 21:51:07.739509       1 controller.go:220] controllers/controller/redislinkedserver "msg"="Starting workers" "reconciler group"="cache.azure.com" "reconciler kind"="RedisLinkedServer" "worker count"=1
I1019 21:51:07.739524       1 controller.go:220] controllers/controller/image "msg"="Starting workers" "reconciler group"="compute.azure.com" "reconciler kind"="Image" "worker count"=1
I1019 21:51:07.740676       1 controller.go:220] controllers/controller/flexibleserversdatabase "msg"="Starting workers" "reconciler group"="dbforpostgresql.azure.com" "reconciler kind"="FlexibleServersDatabase" "worker count"=1
I1019 21:51:07.740703       1 controller.go:220] controllers/controller/databaseaccount "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="DatabaseAccount" "worker count"=1
I1019 21:51:07.740723       1 controller.go:220] controllers/controller/mongodbdatabase "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="MongodbDatabase" "worker count"=1
I1019 21:51:07.740748       1 controller.go:220] controllers/controller/managedclustersagentpool "msg"="Starting workers" "reconciler group"="containerservice.azure.com" "reconciler kind"="ManagedClustersAgentPool" "worker count"=1
I1019 21:51:07.740778       1 controller.go:220] controllers/controller/flexibleserversconfiguration "msg"="Starting workers" "reconciler group"="dbforpostgresql.azure.com" "reconciler kind"="FlexibleServersConfiguration" "worker count"=1
I1019 21:51:07.741730       1 controller.go:220] controllers/controller/sqldatabase "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="SqlDatabase" "worker count"=1
I1019 21:51:07.741793       1 controller.go:220] controllers/controller/mongodbdatabasecollectionthroughputsetting "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="MongodbDatabaseCollectionThroughputSetting" "worker count"=1
I1019 21:51:07.741798       1 controller.go:220] controllers/controller/sqldatabasecontainertrigger "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="SqlDatabaseContainerTrigger" "worker count"=1
I1019 21:51:07.742842       1 controller.go:220] controllers/controller/sqldatabasecontainer "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="SqlDatabaseContainer" "worker count"=1
I1019 21:51:07.742861       1 controller.go:220] controllers/controller/sqldatabasethroughputsetting "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="SqlDatabaseThroughputSetting" "worker count"=1
I1019 21:51:07.743961       1 controller.go:220] controllers/controller/topic "msg"="Starting workers" "reconciler group"="eventgrid.azure.com" "reconciler kind"="Topic" "worker count"=1
I1019 21:51:07.743970       1 controller.go:220] controllers/controller/sqldatabasecontainerstoredprocedure "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="SqlDatabaseContainerStoredProcedure" "worker count"=1
I1019 21:51:07.744000       1 controller.go:220] controllers/controller/domain "msg"="Starting workers" "reconciler group"="eventgrid.azure.com" "reconciler kind"="Domain" "worker count"=1
I1019 21:51:07.745076       1 controller.go:220] controllers/controller/sqldatabasecontaineruserdefinedfunction "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="SqlDatabaseContainerUserDefinedFunction" "worker count"=1
I1019 21:51:07.745085       1 controller.go:220] controllers/controller/mongodbdatabasecollection "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="MongodbDatabaseCollection" "worker count"=1
I1019 21:51:07.745109       1 controller.go:220] controllers/controller/sqldatabasecontainerthroughputsetting "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="SqlDatabaseContainerThroughputSetting" "worker count"=1
I1019 21:51:07.745116       1 controller.go:220] controllers/controller/eventsubscription "msg"="Starting workers" "reconciler group"="eventgrid.azure.com" "reconciler kind"="EventSubscription" "worker count"=1
I1019 21:51:07.746232       1 controller.go:220] controllers/controller/domainstopic "msg"="Starting workers" "reconciler group"="eventgrid.azure.com" "reconciler kind"="DomainsTopic" "worker count"=1
I1019 21:51:07.746256       1 controller.go:220] controllers/controller/namespaceseventhubsconsumergroup "msg"="Starting workers" "reconciler group"="eventhub.azure.com" "reconciler kind"="NamespacesEventhubsConsumerGroup" "worker count"=1
I1019 21:51:07.746266       1 controller.go:220] controllers/controller/mongodbdatabasethroughputsetting "msg"="Starting workers" "reconciler group"="documentdb.azure.com" "reconciler kind"="MongodbDatabaseThroughputSetting" "worker count"=1
I1019 21:51:07.746233       1 controller.go:220] controllers/controller/namespaceseventhub "msg"="Starting workers" "reconciler group"="eventhub.azure.com" "reconciler kind"="NamespacesEventhub" "worker count"=1
I1019 21:51:07.746286       1 controller.go:220] controllers/controller/namespaceseventhubsauthorizationrule "msg"="Starting workers" "reconciler group"="eventhub.azure.com" "reconciler kind"="NamespacesEventhubsAuthorizationRule" "worker count"=1
I1019 21:51:07.746300       1 controller.go:220] controllers/controller/vault "msg"="Starting workers" "reconciler group"="keyvault.azure.com" "reconciler kind"="Vault" "worker count"=1
I1019 21:51:07.747395       1 controller.go:220] controllers/controller/component "msg"="Starting workers" "reconciler group"="insights.azure.com" "reconciler kind"="Component" "worker count"=1
I1019 21:51:07.747412       1 controller.go:220] controllers/controller/namespace "msg"="Starting workers" "reconciler group"="eventhub.azure.com" "reconciler kind"="Namespace" "worker count"=1
I1019 21:51:07.747427       1 controller.go:220] controllers/controller/workspacescompute "msg"="Starting workers" "reconciler group"="machinelearningservices.azure.com" "reconciler kind"="WorkspacesCompute" "worker count"=1
I1019 21:51:07.747444       1 controller.go:220] controllers/controller/namespacesauthorizationrule "msg"="Starting workers" "reconciler group"="eventhub.azure.com" "reconciler kind"="NamespacesAuthorizationRule" "worker count"=1
I1019 21:51:07.747460       1 controller.go:220] controllers/controller/webtest "msg"="Starting workers" "reconciler group"="insights.azure.com" "reconciler kind"="Webtest" "worker count"=1
I1019 21:51:07.748564       1 controller.go:220] controllers/controller/loadbalancer "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="LoadBalancer" "worker count"=1
I1019 21:51:07.748588       1 controller.go:220] controllers/controller/privatednszone "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="PrivateDnsZone" "worker count"=1
I1019 21:51:07.748567       1 controller.go:220] controllers/controller/userassignedidentity "msg"="Starting workers" "reconciler group"="managedidentity.azure.com" "reconciler kind"="UserAssignedIdentity" "worker count"=1
I1019 21:51:07.748599       1 controller.go:220] controllers/controller/workspace "msg"="Starting workers" "reconciler group"="machinelearningservices.azure.com" "reconciler kind"="Workspace" "worker count"=1
I1019 21:51:07.749697       1 controller.go:220] controllers/controller/publicipaddress "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="PublicIPAddress" "worker count"=1
I1019 21:51:07.750882       1 controller.go:220] controllers/controller/networksecuritygroupssecurityrule "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="NetworkSecurityGroupsSecurityRule" "worker count"=1
I1019 21:51:07.751956       1 controller.go:220] controllers/controller/user "msg"="Starting workers" "reconciler group"="dbformysql.azure.com" "reconciler kind"="User" "worker count"=1
I1019 21:51:07.751967       1 controller.go:220] controllers/controller/namespacestopic "msg"="Starting workers" "reconciler group"="servicebus.azure.com" "reconciler kind"="NamespacesTopic" "worker count"=1
I1019 21:51:07.751988       1 controller.go:220] controllers/controller/virtualnetwork "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="VirtualNetwork" "worker count"=1
I1019 21:51:07.752122       1 controller.go:220] controllers/controller/virtualnetworkgateway "msg"="Starting workers" "reconciler group"="network.azure.com" "reconciler kind"="VirtualNetworkGateway" "worker count"=1
I1019 21:51:07.753208       1 controller.go:220] controllers/controller/alias "msg"="Starting workers" "reconciler group"="subscription.azure.com" "reconciler kind"="Alias" "worker count"=1
I1019 21:51:40.899904       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-resources-azure-com-v1alpha1api20200601-resourcegroup" "UID"="bd833ae2-2ad6-463f-9a0d-2dc4adf1cb8a" "kind"={"group":"resources.azure.com","version":"v1alpha1api20200601","kind":"ResourceGroup"} "resource"={"group":"resources.azure.com","version":"v1alpha1api20200601","resource":"resourcegroups"}
I1019 21:51:40.900367       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-resources-azure-com-v1alpha1api20200601-resourcegroup" "UID"="bd833ae2-2ad6-463f-9a0d-2dc4adf1cb8a" "allowed"=true
I1019 21:51:40.930045       1 common.go:55] controllers/ResourceGroupController "msg"="Reconcile invoked" "name"="aso-sample-rg" "namespace"="default" "annotations"={} "conditions"="[]" "creationTimestamp"="2022-10-19T21:51:40Z" "finalizers"=null "generation"=1 "kind"={"kind":"ResourceGroup","apiVersion":"resources.azure.com/v1beta20200601"} "owner"=null "ownerReferences"=null "resourceVersion"="4213" "uid"="d002a198-0871-46cf-a8c5-070b9f7ebca2"
2022/10/19 21:51:40 http: TLS handshake error from 10.244.0.5:51644: EOF
2022/10/19 21:51:40 http: TLS handshake error from 10.244.0.6:59766: EOF
I1019 21:51:40.955653       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="a69164e3-2d73-4710-90dc-b5a407ab0fe6" "kind"={"group":"resources.azure.com","version":"v1beta20200601","kind":"ResourceGroup"} "resource"={"group":"resources.azure.com","version":"v1beta20200601","resource":"resourcegroups"}
I1019 21:51:40.955927       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="a69164e3-2d73-4710-90dc-b5a407ab0fe6" "allowed"=true
I1019 21:51:41.963179       1 common.go:55] controllers/ResourceGroupController "msg"="Reconcile invoked" "name"="aso-sample-rg" "namespace"="default" "annotations"={"serviceoperator.azure.com/operator-namespace":"azureserviceoperator-system"} "conditions"="[]" "creationTimestamp"="2022-10-19T21:51:40Z" "finalizers"=null "generation"=1 "kind"={"kind":"ResourceGroup","apiVersion":"resources.azure.com/v1beta20200601"} "owner"=null "ownerReferences"=null "resourceVersion"="4214" "uid"="d002a198-0871-46cf-a8c5-070b9f7ebca2"
I1019 21:51:41.963223       1 common.go:122] controllers/ResourceGroupController "msg"="applying ownership" "name"="aso-sample-rg" "namespace"="default" 
I1019 21:51:41.963300       1 generic_controller.go:324] controllers/ResourceGroupController "msg"="adding finalizer" "name"="aso-sample-rg" "namespace"="default" 
I1019 21:51:41.976951       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="e2396a58-d80a-467d-a183-096ef30c1a34" "kind"={"group":"resources.azure.com","version":"v1beta20200601","kind":"ResourceGroup"} "resource"={"group":"resources.azure.com","version":"v1beta20200601","resource":"resourcegroups"}
I1019 21:51:41.977190       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="e2396a58-d80a-467d-a183-096ef30c1a34" "allowed"=true
2022/10/19 21:51:41 http: TLS handshake error from 10.244.0.6:59794: EOF
I1019 21:51:42.006532       1 azure_generic_arm_reconciler_instance.go:67] controllers/ResourceGroupController "msg"="Determined CreateOrUpdate action" "azureName"="aso-sample-rg" "name"="aso-sample-rg" "namespace"="default" "action"="BeginCreateOrUpdate"
I1019 21:51:42.006618       1 azure_generic_arm_reconciler_instance.go:258] controllers/ResourceGroupController "msg"="About to send resource to Azure" "azureName"="aso-sample-rg" "name"="aso-sample-rg" "namespace"="default" 
I1019 21:51:42.927817       1 azure_generic_arm_reconciler_instance.go:267] controllers/ResourceGroupController "msg"="Successfully sent resource to Azure" "azureName"="aso-sample-rg" "name"="aso-sample-rg" "namespace"="default" "id"="/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-sample-rg"
I1019 21:51:42.927918       1 azure_generic_arm_reconciler_instance.go:309] controllers/ResourceGroupController "msg"="Resource successfully created" "azureName"="aso-sample-rg" "name"="aso-sample-rg" "namespace"="default" "resourceID"="/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-sample-rg"
I1019 21:51:42.928078       1 recorder.go:103] events "msg"="Normal"  "message"="Successfully sent resource to Azure with ID \"/subscriptions/d19dddf3-9520-4226-a313-ae8ee08675e5/resourceGroups/aso-sample-rg\"" "object"={"kind":"ResourceGroup","namespace":"default","name":"aso-sample-rg","uid":"d002a198-0871-46cf-a8c5-070b9f7ebca2","apiVersion":"resources.azure.com/v1beta20200601","resourceVersion":"4220"} "reason"="BeginCreateOrUpdate"
I1019 21:51:42.958475       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="15608b93-1287-4952-aaa5-f9734f4dce58" "kind"={"group":"resources.azure.com","version":"v1beta20200601","kind":"ResourceGroup"} "resource"={"group":"resources.azure.com","version":"v1beta20200601","resource":"resourcegroups"}
I1019 21:51:42.958735       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="15608b93-1287-4952-aaa5-f9734f4dce58" "allowed"=true
I1019 21:55:54.078852       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-resources-azure-com-v1alpha1api20200601-resourcegroup" "UID"="02469fa3-e3bd-4e08-a7ba-4a87afe42277" "kind"={"group":"resources.azure.com","version":"v1alpha1api20200601","kind":"ResourceGroup"} "resource"={"group":"resources.azure.com","version":"v1alpha1api20200601","resource":"resourcegroups"}
I1019 21:55:54.079037       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-resources-azure-com-v1alpha1api20200601-resourcegroup" "UID"="02469fa3-e3bd-4e08-a7ba-4a87afe42277" "allowed"=true
I1019 21:55:54.116196       1 common.go:55] controllers/ResourceGroupController "msg"="Reconcile invoked" "name"="aso-cosmos-demo" "namespace"="cosmosdb" "annotations"={} "conditions"="[]" "creationTimestamp"="2022-10-19T21:55:54Z" "finalizers"=null "generation"=1 "kind"={"kind":"ResourceGroup","apiVersion":"resources.azure.com/v1beta20200601"} "owner"=null "ownerReferences"=null "resourceVersion"="5464" "uid"="6d6910c9-cb79-49c7-9e97-edb3abc44fe2"
2022/10/19 21:55:54 http: TLS handshake error from 10.244.0.6:47778: EOF
2022/10/19 21:55:54 http: TLS handshake error from 10.244.0.6:47784: EOF
I1019 21:55:54.145023       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="154828b0-a6cf-4c61-b81d-a46716c64d08" "kind"={"group":"resources.azure.com","version":"v1beta20200601","kind":"ResourceGroup"} "resource"={"group":"resources.azure.com","version":"v1beta20200601","resource":"resourcegroups"}
I1019 21:55:54.145236       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-resources-azure-com-v1beta20200601-resourcegroup" "UID"="154828b0-a6cf-4c61-b81d-a46716c64d08" "allowed"=true
I1019 21:55:54.177039       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/mutate-documentdb-azure-com-v1alpha1api20210515-databaseaccount" "UID"="c91dc0b8-e0bb-46f3-8644-73465feb2815" "kind"={"group":"documentdb.azure.com","version":"v1alpha1api20210515","kind":"DatabaseAccount"} "resource"={"group":"documentdb.azure.com","version":"v1alpha1api20210515","resource":"databaseaccounts"}
I1019 21:55:54.178158       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/mutate-documentdb-azure-com-v1alpha1api20210515-databaseaccount" "UID"="c91dc0b8-e0bb-46f3-8644-73465feb2815" "allowed"=true
I1019 21:55:54.188886       1 http.go:97] controller-runtime/webhook/webhooks "msg"="received request" "webhook"="/validate-documentdb-azure-com-v1alpha1api20210515-databaseaccount" "UID"="45ba50e5-b7b3-4008-8621-23dcd2efce29" "kind"={"group":"documentdb.azure.com","version":"v1alpha1api20210515","kind":"DatabaseAccount"} "resource"={"group":"documentdb.azure.com","version":"v1alpha1api20210515","resource":"databaseaccounts"}
I1019 21:55:54.189008       1 http.go:136] controller-runtime/webhook/webhooks "msg"="wrote response" "code"=200 "reason"="" "webhook"="/validate-documentdb-azure-com-v1alpha1api20210515-databaseaccount" "UID"="45ba50e5-b7b3-4008-8621-23dcd2efce29" "allowed"=true
